O3,Rad_Avg,Radiation
38.20175694444444,544.2723919716647,Radiation 3
33.601256944444444,493.6172421185372,Radiation 2
20.20654861111111,285.0158181818182,Radiation 1
23.703125,448.8889916864608,Radiation 2
24.30340277777778,329.5931658595642,Radiation 2
21.88284942084942,422.91597757847535,Radiation 2
36.13798611111111,534.7157568578554,Radiation 3
38.20926388888888,578.8393957816378,Radiation 3
35.13959027777778,545.7948842652796,Radiation 3
34.97728472222222,420.9406779661017,Radiation 2
60.749,570.9270117647059,Radiation 3
44.13373611111111,388.23733164556967,Radiation 2
36.554402777777774,430.38442118226607,Radiation 2
30.77636805555556,481.1566544766709,Radiation 2
30.354597222222225,488.6196842105263,Radiation 2
18.99336805555556,300.6071948842875,Radiation 2
18.93221527777778,385.2968167539267,Radiation 2
23.778194444444445,395.226468401487,Radiation 2
29.56352777777778,229.35005283505157,Radiation 1
26.71140972222222,319.36407875000003,Radiation 2
33.59127083333333,416.1697299630087,Radiation 2
31.95534722222222,484.1488390804598,Radiation 2
27.448347222222225,501.40601277139206,Radiation 3
29.207173611111116,515.9793959390863,Radiation 3
33.41251388888889,502.4651946222791,Radiation 3
29.07413194444445,406.7679369369369,Radiation 2
22.71313888888889,443.927333767927,Radiation 2
30.51480086893556,390.73920263788966,Radiation 2
31.2826875,393.608024360536,Radiation 2
37.63666666666667,452.35836561743344,Radiation 2
42.66342361111112,492.76658096415326,Radiation 2
34.462409722222226,385.3432329113924,Radiation 2
31.37092361111111,414.3100865139949,Radiation 2
30.402270833333333,386.070907063197,Radiation 2
26.88835416666667,367.63864129032254,Radiation 2
30.03416550764951,532.2254584980237,Radiation 3
32.78840972222222,644.1553350923483,Radiation 3
32.40528472222222,605.9056440677966,Radiation 3
36.23313888888889,632.986370712401,Radiation 3
33.48708333333333,626.1016996047431,Radiation 3
40.152791666666666,491.06172037283625,Radiation 2
39.56527083333333,632.0100624169986,Radiation 3
33.72535416666667,419.2675936675462,Radiation 2
33.16647916666667,483.6267596513076,Radiation 2
30.418875,293.7362036793692,Radiation 1
31.093493055555555,528.9247425227568,Radiation 3
29.13805555555556,598.8531347708895,Radiation 3
29.165444444444443,521.2062141900938,Radiation 3
32.69744444444444,592.9865213333334,Radiation 3
34.168909722222224,583.3367586666667,Radiation 3
28.965541666666663,611.70250132626,Radiation 3
30.461305555555555,609.4400091623037,Radiation 3
29.1420625,617.592796812749,Radiation 3
31.435319444444445,572.1579166666667,Radiation 3
33.832874999999994,612.6741064690027,Radiation 3
34.30513194444445,603.7912416998672,Radiation 3
16.190994475138123,483.8610444352299,Radiation 2
34.525691452397496,475.1581434426229,Radiation 2
37.92851388888889,512.7824931506849,Radiation 3
33.25427777777778,315.5557913486005,Radiation 2
23.04182638888889,429.7257399463807,Radiation 2
23.52146527777778,534.9044027027027,Radiation 3
