Fecha,O3
2019-07-24,21.958333333333332
2019-07-25,9.4
2019-07-26,2.0
2019-07-30,27.818181818181817
2019-07-31,28.166666666666664
2019-08-01,24.695652173913043
2019-08-02,29.791666666666664
2019-08-03,28.333333333333332
2019-08-04,30.958333333333336
2019-08-05,33.0
2019-08-06,37.333333333333336
2019-08-07,34.91666666666667
2019-08-08,27.666666666666668
2019-08-09,32.16666666666667
2019-08-10,24.541666666666668
2019-08-11,28.041666666666668
2019-08-12,29.958333333333332
2019-08-13,26.041666666666668
2019-08-14,32.625
2019-08-15,37.625
2019-08-16,34.458333333333336
2019-08-17,31.375
2019-08-18,30.083333333333332
2019-08-19,23.500000000000004
2019-08-20,30.458333333333332
2019-08-21,27.291666666666668
2019-08-22,20.041666666666664
2019-08-23,19.458333333333336
