Fecha,CO
2019-10-05,0.7420833333333333
2019-10-06,0.6429166666666667
2019-10-07,0.6416666666666667
2019-10-08,0.5912499999999999
2019-10-09,0.8020833333333334
2019-10-10,0.7487499999999999
2019-10-11,0.7270833333333333
2019-10-12,0.6441666666666667
2019-10-13,0.7029166666666667
2019-10-14,0.8004166666666667
2019-10-15,0.7845833333333333
2019-10-16,0.8250000000000001
2019-10-17,0.71
2019-10-18,0.7766666666666667
2019-10-19,0.6891666666666666
2019-10-20,0.6270833333333333
2019-10-21,0.7050000000000001
2019-10-22,0.9129166666666667
2019-10-23,0.6495833333333333
2019-10-24,0.8186363636363637
2019-10-25,0.9862500000000001
2019-10-26,0.7558333333333334
2019-10-27,0.6683333333333333
2019-10-28,0.6566666666666666
2019-10-29,0.6979166666666666
2019-10-30,0.6933333333333334
2019-10-31,0.7816666666666667
2019-11-01,0.6641666666666667
2019-11-02,0.7783333333333333
2019-11-03,0.62125
2019-11-04,0.7516666666666666
2019-11-05,0.8083333333333332
2019-11-06,0.7995833333333334
2019-11-07,0.9785714285714286
2019-11-08,1.502
2019-11-09,1.3525
2019-11-10,1.3033333333333335
2019-11-11,1.18875
2019-11-12,1.3779166666666667
2019-11-13,1.2029166666666666
2019-11-14,1.0675000000000001
2019-11-15,1.0328571428571427
2019-11-19,1.3936363636363636
2019-11-20,1.3570833333333334
2019-11-21,1.3604166666666666
2019-11-22,1.1533333333333333
2019-11-23,0.9554166666666667
2019-11-24,0.9820833333333333
2019-11-25,0.8641666666666666
2019-11-26,0.7858333333333333
2019-11-27,0.5308333333333334
2019-11-28,0.791
2019-11-29,0.8654166666666666
2019-11-30,0.9645833333333332
2019-12-01,0.44708333333333333
2019-12-02,0.5791666666666667
2019-12-03,0.5279166666666667
2019-12-04,0.45458333333333334
2019-12-05,0.43083333333333335
2019-12-06,0.5220833333333333
2019-12-07,0.3954166666666667
2019-12-08,0.26375
2019-12-09,0.31875000000000003
2019-12-10,0.31708333333333333
2019-12-11,0.5125
2019-12-12,0.52375
2019-12-13,0.55875
2019-12-14,0.2704166666666667
2019-12-15,0.2354166666666667
2019-12-16,0.23124999999999998
2019-12-17,0.3545833333333333
2019-12-18,0.27416666666666667
2019-12-19,0.3975
2019-12-20,0.4054166666666667
2019-12-21,0.48208333333333336
2019-12-22,0.3425
2019-12-23,0.5399999999999999
2019-12-24,0.40375
2019-12-25,0.26
2019-12-26,0.42444444444444446
2019-12-27,0.32208333333333333
2019-12-28,0.1825
2019-12-29,0.21833333333333335
2019-12-30,0.18875
2019-12-31,0.2004166666666667
2020-01-01,0.20958333333333334
2020-01-02,0.08125
2020-01-03,0.16375
2020-01-04,0.16666666666666666
2020-01-06,0.4488888888888889
2020-01-07,0.3354166666666667
2020-01-08,0.4291666666666667
2020-01-09,0.28541666666666665
2020-01-10,0.28750000000000003
2020-01-11,0.29041666666666666
2020-01-12,0.21208333333333332
2020-01-13,0.35708333333333336
2020-01-14,0.3606666666666667
2020-01-15,0.27208333333333334
2020-01-16,0.3466666666666667
2020-01-17,0.3129166666666667
2020-01-18,0.235
2020-01-19,0.1679166666666667
2020-01-20,0.32666666666666666
2020-01-21,0.4066666666666667
2020-01-22,0.27708333333333335
2020-01-23,0.3120833333333333
2020-01-24,0.27125
2020-01-25,0.09208333333333334
2020-01-26,0.08958333333333333
2020-01-27,0.13708333333333333
2020-01-28,0.09458333333333334
2020-01-29,0.14041666666666666
2020-01-30,0.07791666666666668
2020-01-31,0.18285714285714286
2020-02-01,0.11333333333333334
2020-02-04,1.1733333333333333
2020-02-05,0.5886363636363636
2020-02-06,0.6294444444444445
2020-02-07,0.5075
2020-02-08,0.3775
2020-02-09,0.36624999999999996
2020-02-10,0.39956521739130435
2020-02-11,0.37916666666666665
2020-02-12,0.43083333333333335
2020-02-13,0.46625
2020-02-14,0.47458333333333336
2020-02-15,0.4879166666666667
2020-02-16,0.38458333333333333
2020-02-17,0.365
2020-02-18,0.34625
2020-02-19,0.28291666666666665
2020-02-20,0.2758333333333333
2020-02-21,0.21458333333333335
2020-02-22,0.1925
2020-02-23,0.13583333333333333
2020-02-24,0.19791666666666666
2020-02-25,0.15555555555555556
2020-02-26,0.52125
2020-02-27,0.37999999999999995
2020-02-28,0.49583333333333335
2020-02-29,0.41375
2020-03-01,0.26333333333333336
2020-03-02,0.27375
2020-03-03,0.2041666666666667
2020-03-04,0.12666666666666668
2020-03-05,0.2675
2020-03-06,0.21666666666666667
2020-03-07,0.29833333333333334
2020-03-08,0.27999999999999997
2020-03-09,0.23750000000000002
2020-03-10,0.9606666666666667
2020-03-11,0.7820833333333334
2020-03-12,0.6933333333333334
2020-03-13,0.725
2020-03-14,0.64
2020-03-15,0.48625
2020-03-16,0.5525
2020-03-17,0.5395833333333333
2020-03-18,0.5370833333333334
2020-03-19,0.49666666666666665
2020-03-20,0.52125
2020-03-21,0.44875
2020-03-22,0.39958333333333335
2020-03-23,0.39916666666666667
2020-03-24,0.3933333333333333
2020-03-25,0.17500000000000002
2020-03-26,0.09416666666666668
2020-03-27,0.05583333333333334
2020-03-28,0.050833333333333335
2020-03-29,0.030833333333333334
2020-03-30,0.26608695652173914
2020-03-31,0.4716666666666667
2020-04-01,0.43333333333333335
2020-04-02,0.5325
