O3,RH_Avg,RelativeHumidity
38.40700694444444,32.253416666666666,Humidity 1
32.24795833333333,32.95166666666667,Humidity 1
34.71211805555556,33.876756944444445,Humidity 2
42.74701388888889,34.87896527777778,Humidity 2
39.27136111111111,30.80727083333333,Humidity 1
38.35505555555555,31.35736805555556,Humidity 1
31.59933333333333,43.70004861111112,Humidity 3
32.05447222222222,41.97302777777778,Humidity 2
36.42123611111112,46.59588194444445,Humidity 3
48.24828472222222,43.78618055555555,Humidity 3
53.41093055555556,42.96715972222222,Humidity 2
48.93819444444444,45.75746351633079,Humidity 3
44.66847916666666,38.90767361111112,Humidity 2
47.503395833333336,35.79001388888889,Humidity 2
47.19511111111112,35.42697222222222,Humidity 2
45.66423611111111,35.49986111111112,Humidity 2
45.43418055555556,34.33197222222222,Humidity 2
50.93453472222222,30.125097222222223,Humidity 1
47.33742477256823,39.2648575399583,Humidity 2
45.61479166666667,34.91963194444444,Humidity 2
51.32558333333333,31.063625,Humidity 1
49.54078472222222,34.649993055555555,Humidity 2
47.31720833333333,34.71884027777777,Humidity 2
50.49930555555556,30.99276388888889,Humidity 1
46.102284722222215,32.82277083333334,Humidity 1
37.15773480662983,35.10900552486188,Humidity 2
