Fecha,SolarRadiation
2018-09-22,176.58333333333334
2018-09-23,188.79166666666666
2018-09-24,229.625
2018-09-25,162.70833333333334
2018-09-26,239.29166666666666
2018-09-27,178.16666666666666
2018-09-28,203.75
2018-09-29,202.83333333333334
2018-09-30,210.0
2018-10-01,224.33333333333334
2018-10-02,246.33333333333334
2018-10-03,207.375
2018-10-04,248.20833333333334
2018-10-05,218.83333333333334
2018-10-06,173.25
2018-10-07,237.375
2018-10-08,225.75
2018-10-09,247.70833333333334
2018-10-10,206.16666666666666
2018-10-11,166.875
2018-10-12,204.16666666666666
2018-10-13,200.91666666666666
2018-10-14,198.75
2018-10-15,241.91666666666666
2018-10-16,188.16666666666666
2018-10-17,186.125
2018-10-18,179.41666666666666
2018-10-19,235.79166666666666
2018-10-20,149.75
