O3,Temp_Avg,Temperature
14.627116052814454,12.727493055555556,Low Temperature
20.282835302293257,14.340444444444444,Low Temperature
21.248860319666434,14.467118055555556,Low Temperature
29.140208333333334,13.71694722222222,Low Temperature
37.62855555555556,13.22971388888889,Low Temperature
34.13065972222223,13.147947222222223,Low Temperature
42.00321527777778,13.745220138888888,Low Temperature
44.97535416666667,14.25766527777778,Low Temperature
35.139854166666666,14.00247986111111,Low Temperature
34.65788194444444,14.620208333333332,Low Temperature
31.327361111111117,15.229333333333336,Medium Temperature
24.286708333333333,13.723715277777778,Low Temperature
25.66252083333333,11.795013888888889,Low Temperature
22.762666666666664,12.889593055555554,Low Temperature
23.325229166666663,11.08151111111111,Low Temperature
27.85879166666667,12.17595625,Low Temperature
23.64385952208544,11.079048515568427,Low Temperature
29.35556944444444,12.713656944444445,Low Temperature
28.373055555555556,14.014808333333333,Low Temperature
25.192409722222223,14.795186805555556,Low Temperature
22.526027777777777,13.447515277777777,Low Temperature
22.873069444444447,13.612695833333332,Low Temperature
21.196875,13.95239236111111,Low Temperature
16.354479166666668,13.774930555555557,Low Temperature
17.027291666666667,14.83317361111111,Low Temperature
19.806125,13.8290625,Low Temperature
22.59813888888889,14.063404166666666,Low Temperature
21.193416666666668,14.157189583333333,Low Temperature
24.81572222222222,14.786210416666666,Low Temperature
25.92910416666667,15.778902777777777,Medium Temperature
25.16539583333333,15.046930555555557,Medium Temperature
26.123548611111115,15.49019513888889,Medium Temperature
27.909770833333333,15.80101875,Medium Temperature
27.167145833333336,16.539353717859626,Medium Temperature
33.36979320531758,16.926931567328918,Medium Temperature
36.58883089770355,17.38157967988866,Medium Temperature
32.025777777777776,15.332263888888887,Medium Temperature
30.56284722222222,14.458166666666664,Low Temperature
25.104875,14.651119444444443,Low Temperature
23.709993055555557,16.013597222222224,Medium Temperature
25.29263888888889,15.169368055555555,Medium Temperature
24.49093055555556,15.564245138888888,Medium Temperature
22.230256944444445,16.189072222222222,Medium Temperature
24.762416666666663,15.65931527777778,Medium Temperature
31.744728457639397,15.102029688631426,Medium Temperature
30.100694444444443,15.781625,Medium Temperature
27.539583333333333,15.175972916666668,Medium Temperature
35.753236111111114,15.466479166666666,Medium Temperature
36.71118055555556,14.077122222222222,Low Temperature
45.00276388888889,14.398230555555555,Low Temperature
42.50246527777778,15.34857400972898,Medium Temperature
42.22634027777778,16.440089583333332,Medium Temperature
40.31036805555556,17.34930625,Medium Temperature
38.49885416666667,16.463438194444443,Medium Temperature
34.491166666666665,16.44410347222222,Medium Temperature
32.07825,17.234166666666667,Medium Temperature
28.6599375,16.902229166666665,Medium Temperature
36.17859722222222,17.156222222222222,Medium Temperature
30.55161805555556,15.682625,Medium Temperature
33.233645833333334,16.16684722222222,Medium Temperature
25.9076875,14.330819444444446,Low Temperature
26.71636805555556,12.348340277777778,Low Temperature
32.876201388888894,11.464714583333333,Low Temperature
45.484631944444445,14.578329166666668,Low Temperature
52.02514583333334,16.537899305555555,Medium Temperature
48.33290277777778,17.05959236111111,Medium Temperature
57.25498611111111,17.715340277777777,Medium Temperature
61.173902777777776,18.380525694444444,Medium Temperature
57.80980555555555,18.669854166666667,Medium Temperature
52.135645833333335,19.53861805555556,Medium Temperature
36.00194675540765,13.896056572379369,Low Temperature
40.048145833333336,18.11847222222222,Medium Temperature
41.41460416666666,17.972486111111113,Medium Temperature
38.88227083333334,17.738666666666667,Medium Temperature
38.95588888888889,18.065402777777777,Medium Temperature
37.63310416666666,17.687320138888886,Medium Temperature
39.93408333333333,18.39575,Medium Temperature
39.06909722222223,18.87454861111111,Medium Temperature
40.37890972222222,18.18694513888889,Medium Temperature
38.0923125,19.616208333333333,Medium Temperature
35.65232638888889,19.28590277777778,Medium Temperature
35.876756944444445,19.02102083333333,Medium Temperature
40.032868055555554,19.264652777777776,Medium Temperature
40.04170138888889,19.022319444444445,Medium Temperature
33.581867219917015,14.703278008298756,Low Temperature
41.92834027777778,20.033597222222223,High Temperature
33.664145833333336,20.537088255733146,High Temperature
32.006076388888886,20.85243055555556,High Temperature
38.40700694444444,19.51747222222222,Medium Temperature
32.24795833333333,18.998694444444443,Medium Temperature
34.71211805555556,20.82826388888889,High Temperature
42.74701388888889,20.744722222222222,High Temperature
39.27136111111111,20.750006944444443,High Temperature
38.35505555555555,19.844527777777778,Medium Temperature
31.59933333333333,19.695368055555555,Medium Temperature
32.05447222222222,19.71936805555556,Medium Temperature
36.42123611111112,20.40084722222222,High Temperature
48.24828472222222,22.207145833333332,High Temperature
53.41093055555556,23.008645833333333,High Temperature
48.93819444444444,23.147748436414176,High Temperature
44.66847916666666,23.74642361111111,High Temperature
47.503395833333336,23.51775,High Temperature
47.19511111111112,23.48788888888889,High Temperature
45.66423611111111,22.87843055555556,High Temperature
45.43418055555556,23.03311805555556,High Temperature
50.93453472222222,22.810534722222226,High Temperature
47.33742477256823,21.50266851980542,High Temperature
45.61479166666667,22.020902777777778,High Temperature
51.32558333333333,22.35734722222222,High Temperature
49.54078472222222,22.542743055555555,High Temperature
47.31720833333333,21.374402777777775,High Temperature
50.49930555555556,21.631916666666665,High Temperature
46.102284722222215,21.286555555555555,High Temperature
37.15773480662983,16.92524861878453,Medium Temperature
