Fecha,NO
2009-05-18,0.25
2009-05-19,0.3125
2009-05-20,0.6500000000000001
2009-05-21,0.7333333333333334
2009-05-22,0.782608695652174
2009-05-23,0.8333333333333333
2009-05-24,1.5
2009-05-25,0.75
2009-05-26,0.7142857142857143
2009-05-27,0.25
2009-05-28,-1.0
2009-05-29,0.3125
2009-05-30,1.0
2009-05-31,1.0
2009-06-01,0.4666666666666667
2009-06-02,0.125
2009-06-03,0.5
2009-06-04,-0.23529411764705876
2009-06-05,-0.2857142857142857
2009-06-06,0.7142857142857143
2009-06-07,1.0
2009-06-08,0.7500000000000001
2009-06-09,1.0
2009-06-10,1.0
2009-06-11,-0.6666666666666666
2009-06-12,0.27272727272727276
2009-06-13,1.0
2009-06-14,1.0
2009-06-15,-1.0
2009-06-16,-1.0476190476190477
