Fecha,NO
2018-06-24,3.6666666666666665
2018-06-25,7.416666666666666
2018-06-26,4.791666666666667
2018-06-27,3.416666666666667
2018-06-28,3.0000000000000004
2018-06-29,3.375
2018-06-30,4.458333333333333
2018-07-02,4.0
2018-07-03,3.6666666666666665
2018-07-04,3.75
2018-07-05,3.6666666666666665
2018-07-06,4.041666666666666
2018-07-07,3.75
2018-07-08,3.25
2018-07-09,3.583333333333333
2018-07-10,4.666666666666667
2018-07-11,6.375
2018-07-12,6.000000000000001
2018-07-13,6.208333333333333
2018-07-14,3.7916666666666665
2018-07-15,4.083333333333334
2018-07-16,3.9166666666666665
2018-07-17,3.0416666666666665
2018-07-18,3.2916666666666665
2018-07-19,3.75
2018-07-20,2.7500000000000004
2018-07-21,3.0000000000000004
2018-07-22,3.583333333333333
2018-07-23,3.0416666666666665
2018-07-24,2.8333333333333335
2018-07-25,3.6249999999999996
2018-07-26,3.4583333333333335
2018-07-27,3.4583333333333335
2018-07-28,3.25
2018-07-29,3.2083333333333335
2018-07-30,5.166666666666667
2018-07-31,4.041666666666666
2018-08-02,3.5599999999999996
2018-08-03,3.6666666666666665
2018-08-04,4.374999999999999
2018-08-05,3.75
2018-08-06,4.0
2018-08-07,3.9583333333333335
2018-08-08,3.583333333333333
2018-08-09,5.750000000000001
2018-08-10,6.416666666666667
2018-08-11,4.541666666666667
2018-08-12,3.9166666666666665
2018-08-13,4.041666666666666
2018-08-14,5.083333333333333
2018-08-15,5.333333333333333
2018-08-16,3.6249999999999996
2018-08-17,4.374999999999999
2018-08-18,4.249999999999999
2018-08-19,2.2916666666666665
2018-08-20,4.291666666666667
2018-08-21,3.416666666666667
2018-08-22,4.833333333333334
2018-08-23,5.375
2018-08-24,4.166666666666667
2018-08-25,4.833333333333334
2018-08-26,2.5416666666666665
2018-08-27,5.541666666666667
2018-08-28,3.541666666666667
2018-08-29,5.0
2018-08-30,5.166666666666667
2018-08-31,3.416666666666667
2018-09-02,3.5
2018-09-03,3.6666666666666665
2018-09-04,4.041666666666666
2018-09-05,4.666666666666667
2018-09-06,6.041666666666668
2018-09-07,6.166666666666668
2018-09-08,3.5
2018-09-09,3.583333333333334
2018-09-10,3.9583333333333335
2018-09-11,3.9583333333333335
2018-09-12,4.5
2018-09-13,4.708333333333333
2018-09-14,4.458333333333333
2018-09-15,2.7916666666666665
2018-09-16,3.25
2018-09-17,4.041666666666666
2018-09-18,5.291666666666667
2018-09-19,6.916666666666667
2018-09-20,6.5
2018-09-21,6.958333333333334
2018-09-22,5.125
2018-09-23,3.0416666666666665
2018-09-24,5.541666666666667
2018-09-25,5.916666666666667
2018-09-26,4.541666666666667
2018-09-27,5.125
2018-09-28,4.291666666666667
2018-09-29,5.083333333333333
2018-09-30,3.2916666666666665
2018-10-02,7.333333333333333
2018-10-03,5.833333333333334
2018-10-04,7.708333333333334
2018-10-05,5.25
2018-10-06,4.625
2018-10-07,3.3333333333333335
2018-10-08,5.958333333333334
2018-10-09,5.375
2018-10-10,6.133333333333334
2018-10-11,6.7
2018-10-12,5.958333333333334
2018-10-13,5.583333333333333
2018-10-14,4.541666666666667
2018-10-15,7.958333333333333
2018-10-16,10.583333333333334
2018-10-17,6.416666666666667
2018-10-18,7.291666666666666
2018-10-19,6.6521739130434785
2018-10-20,7.208333333333333
2018-10-21,5.625000000000001
2018-10-22,6.916666666666667
2018-10-23,5.833333333333334
2018-10-24,11.166666666666666
2018-10-25,9.375
2018-10-26,6.583333333333333
2018-10-27,5.333333333333333
2018-10-28,4.625
2018-10-29,7.708333333333334
2018-10-30,8.541666666666668
2018-10-31,8.791666666666666
2018-11-02,9.375
2018-11-03,9.041666666666666
2018-11-04,7.208333333333333
2018-11-05,15.458333333333332
2018-11-06,14.374999999999998
2018-11-07,8.346153846153847
2018-11-08,7.916666666666667
2018-11-09,7.375
2018-11-10,7.625
2018-11-11,3.7916666666666665
2018-11-12,6.166666666666667
2018-11-13,11.000000000000002
2018-11-14,6.625
2018-11-15,13.833333333333334
2018-11-16,9.708333333333334
2018-11-17,8.208333333333334
2018-11-18,6.083333333333333
2018-11-19,5.875000000000001
