Time,O3_flag,SO2_flag,NO2_flag,NO_flag,CO_flag,PM10_flag,PM2.5_flag,WDir_Avg,Rain_Tot,WDir_SD,O3,SO2,NO2,NO,CO,PM10,PM2.5,Temp_Avg,RH_Avg,WSpeed_Avg,WSpeed_Max,Press_Avg,Rad_Avg,TemperatureDowntown,RelativeHumidityDowntown,SolarRadiationDowntown,RainfallDowntown,WindDirectionDowntown,PM10Downtown,PM2.5Downtown,O3Downtown,CODowntown,NODowntown,NO2Downtown,SO2Downtown
2015-10-29,OK,BDL,OK,BDL,OK,OK,OK,176.0,0.4,14.801950106117411,18.267444444444443,-0.9501597222222222,1.8913819444444449,0.2421875,0.6512083333333334,6.589339819318971,4.558395833333334,18.07717361111111,77.30688888888889,1.9599472222222225,,803.0416666666666,212.31340277777775,,,,,,,,,,,,
2015-10-30,OK,BDL,OK,BDL,OK,OK,OK,186.0,0.8,14.5700694618333,18.300486111111116,-0.7986527777777778,3.4016875000000004,-0.0810555555555555,0.6459097222222222,5.93418928322895,4.043863794301598,16.587534722222223,79.11222916666667,1.9906611111111112,,803.7083333333334,76.75659722222223,,,,,,,,,,,,
2015-10-31,OK,OR,OK,BDL,OK,BDL,BDL,182.0,5.7,15.397211242272952,13.80840166782488,-0.9966087560806116,3.202939541348158,0.2928283530229326,0.6683043780403058,3.485371785962474,2.142056984016678,16.31590277777778,83.98354166666667,1.6300576388888888,,806.125,142.61506944444446,,,,,,,,,,,,
2015-11-01,OK,OR,OK,BDL,OK,OK,BDL,132.0,0.0,13.95964278242445,20.06988555078684,-1.0269814020028611,3.451137339055794,0.3716738197424893,0.6921673819742489,6.512311015118791,3.105162220620043,15.57167361111111,74.79971527777778,1.3354375,,807.5,258.83715277777776,,,,,,,,,,,,
2015-11-02,OK,OR,OK,BDL,OK,OK,OK,166.0,0.0,14.512897064118874,17.946,-1.0020902777777778,1.622798611111111,-0.1521458333333333,0.6463888888888889,5.548131944444445,4.040027835768964,16.524125,72.5396875,1.7552138888888889,,808.0416666666666,223.84847222222223,,,,,,,,,,,,
2015-11-03,OK,OR,OK,BDL,OK,OK,OK,182.0,0.0,12.945516129826734,13.843479166666668,-0.9362986111111112,2.879270833333333,1.1796458333333333,0.7808888888888889,10.41515635858235,7.556451388888889,17.264423611111113,73.72930555555556,1.7763784722222222,,806.9583333333334,262.7629166666666,,,,,,,,,,,,
2015-11-04,OK,BDL,OK,BDL,OK,OK,OK,174.0,2.7,13.572296166075004,21.172486111111112,-0.6374375,4.442951388888889,1.998513888888889,0.8410069444444445,14.711909722222224,8.908444444444445,17.207520833333334,74.65429166666667,1.4534208333333334,,806.2916666666666,195.1657638888889,,,,,,,,,,,,
2015-11-05,OK,BDL,OK,BDL,OK,OK,OK,134.0,0.0,14.604068460745664,33.71608907446068,0.0221781489213639,5.037007654836465,0.6385942936673625,0.843187195546277,19.84541086350975,14.783303135888502,18.268541666666668,72.51988888888889,1.2526527777777778,,806.5833333333334,244.07111111111112,,,,,,,,,,,,
2015-11-06,OK,BDL,OK,BDL,OK,OK,OK,134.0,0.0,14.888408742995068,27.314568845618915,-0.2358623087621696,5.389367176634214,0.7146940194714881,0.8358275382475661,19.38758524704245,12.78029902642559,17.9288125,73.56103472222222,1.2589381944444444,,807.4583333333334,228.17222222222225,,,,,,,,,,,,
2015-11-07,OK,BDL,OK,BDL,OK,OK,OK,46.0,0.0,14.120768945676692,29.39538888888889,-0.2977291666666666,4.5147152777777775,0.0512083333333333,0.7921319444444445,19.897380125086865,12.24832638888889,17.718256944444445,68.46341666666667,1.5159090277777778,,807.7083333333334,246.6425,,,,,,,,,,,,
