Fecha,Temperatura,RelativeHumidity,SolarRadiation,Rainfall,WindDirection,PM10,PM2.5,O3,CO,NO,NO2,SO2
2018-05-07,20.008333333333333,57.29166666666666,274.9166666666667,,1.0,0.0,,,,3.625,,
2018-05-08,18.3375,65.70833333333333,182.16666666666663,0.08,220.0,0.0,,,,2.708333333333333,,
2018-05-09,19.058333333333334,60.41666666666666,258.3333333333333,0.4,11.0,0.0,,,,3.833333333333333,,
2018-05-10,19.370833333333334,56.125,305.6666666666667,0.18,210.0,0.0,,,,2.041666666666667,,
2018-05-11,18.10833333333333,64.75,268.3333333333333,0.68,200.0,0.0,,,,2.416666666666667,,
2018-05-12,20.191666666666663,60.41666666666666,285.8333333333333,,221.0,0.0,,,,2.6666666666666665,,
2018-05-13,21.279166666666665,58.875,250.875,0.14,352.0,0.0,,,,2.041666666666667,,
2018-05-14,20.47083333333333,62.083333333333336,245.70833333333331,0.03,206.0,0.0,,,,2.583333333333333,,
2018-05-15,22.08333333333333,57.54166666666666,318.4583333333333,0.46,191.0,0.0,,,,2.7500000000000004,,
2018-05-16,22.866666666666664,55.0,301.1666666666667,,55.0,0.0,,,,4.0,,
2018-05-17,23.0625,52.583333333333336,262.125,,78.0,0.0,,,,2.708333333333333,,
2018-05-18,22.95,51.583333333333336,237.79166666666663,,213.0,0.0,,,,2.6666666666666665,,
2018-05-19,23.6375,45.16666666666666,315.8333333333333,,245.0,0.0,,,,2.2916666666666665,,
2018-05-20,22.945833333333336,48.708333333333336,245.95833333333331,0.08,125.0,0.0,,,,2.125,,
2018-05-21,21.52916666666667,54.125,229.375,0.65,221.0,0.0,,,,2.625,,
2018-05-22,21.7875,54.333333333333336,292.75,0.02,229.0,0.0,,,,3.5,,
2018-05-23,22.316666666666663,55.66666666666666,291.125,,194.0,0.0,,,,2.416666666666667,,
2018-05-24,22.991666666666664,54.083333333333336,292.4166666666667,0.11,39.0,0.0,,,,4.249999999999999,,
2018-05-25,24.025,49.5,312.8333333333333,,43.0,0.0,,,,2.916666666666667,,
2018-05-26,24.070833333333336,38.958333333333336,340.625,,0.0,0.0,,,,2.916666666666667,,
2018-05-27,24.179166666666664,35.625,339.5,,217.0,0.0,963.0,,,2.041666666666667,,
2018-05-28,24.729166666666668,33.833333333333336,335.2916666666667,,12.0,0.0,955.7333333333332,,,2.416666666666667,,
2018-05-29,25.2625,39.625,320.7083333333333,,194.0,0.0,,,,2.166666666666667,,
2018-05-30,26.491666666666664,37.16666666666666,322.2916666666667,,5.0,0.0,,,,2.208333333333333,,
2018-05-31,25.745833333333334,43.083333333333336,337.5,,222.0,0.0,,,,2.5,,
2018-06-01,24.77083333333333,41.333333333333336,342.375,,222.0,0.0,,,,,,
2018-06-02,24.366666666666664,38.29166666666666,334.7916666666667,,24.0,0.0,,,,2.25,,
2018-06-03,23.25,44.16666666666666,286.125,0.01,14.0,0.0,,,,2.083333333333333,,
2018-06-04,23.141666666666666,44.91666666666666,325.5416666666667,,358.0,0.0,,,,3.1666666666666665,,
2018-06-05,22.891666666666666,55.25,296.6666666666667,,176.0,0.0,,,,2.583333333333333,,
2018-06-06,23.275,53.458333333333336,312.875,,200.0,0.0,,,,2.416666666666667,,
2018-06-07,23.7,52.91666666666666,320.8333333333333,1.76,212.0,0.0,,,,2.6666666666666665,,
2018-06-08,21.48333333333333,58.41666666666666,294.3333333333333,133.03,175.0,0.0,,,,3.208333333333333,,
2018-06-09,20.504166666666663,65.58333333333333,226.95833333333331,0.44,4.0,0.0,,,,2.5,,
2018-06-10,21.1,62.5,277.0,0.12,46.0,0.0,,,,2.375,,
2018-06-11,20.491666666666667,66.95833333333333,234.08333333333331,0.13,117.0,0.0,,,,4.416666666666667,,
2018-06-12,19.4875,70.70833333333333,159.20833333333334,0.13,223.0,0.0,,,,6.291666666666667,,
