O3,O3_flag,NO2,NO2_flag,NO,NO_flag,CO,CO_flag,PM10,PM10_flag,PM2.5,PM2.5_flag,Temp_Avg,RH_Avg,WSpeed_Avg,WSpeed_Max,WDir_Avg,WDir_SD,Rain_Tot,Press_Avg,Rad_Avg,Year,Month,Day,Hour,Minute
40.7,OK,2.96,OK,0.2,BDL,0.07,OK,7.94,OK,12.7,OK,15.97,90.2,2.159,2.929,358.9,12.91,0.1,807.09,0.369,2023,7,7,0,30
18.38,OK,5.73,OK,0.2,BDL,0.51,OK,2.0,BDL,7.34,OK,9.87,96.4,1.099,1.659,27.12,10.83,0.1,805.553,,2024,2,17,1,17
28.11,OK,1.22,OK,0.2,BDL,0.06,OK,2.0,BDL,15.01,OK,15.93,93.2,0.179,0.502,349.3,1.501,0.1,805.317,,2023,7,7,2,19
21.63,OK,3.65,OK,0.2,BDL,0.77,OK,31.28,OK,23.69,OK,15.35,97.7,1.172,1.505,163.7,6.539,0.2,805.662,,2023,8,29,3,30
28.66,OK,2.51,OK,0.2,BDL,0.25,OK,2.0,BDL,6.4,OK,16.34,97.5,0.346,1.157,60.25,4.681,0.1,805.213,,2023,10,6,3,1
47.68,OK,1.18,OK,0.2,BDL,0.02,BDL,24.81,OK,24.38,OK,21.57,57.62,3.048,3.768,320.5,5.923,0.2,808.093,56.93,2023,7,17,12,17
21.08,OK,11.76,OK,0.2,BDL,0.33,OK,15.09,OK,18.75,OK,16.44,88.6,1.287,1.69,265.3,6.235,0.1,806.874,,2023,9,18,21,8
44.96,OK,2.63,OK,0.2,BDL,0.04,OK,14.87,OK,20.0,OK,16.74,86.9,2.072,2.826,170.5,14.76,0.1,809.516,,2023,7,18,0,3
41.38,OK,1.39,OK,0.2,BDL,0.08,OK,12.8,OK,16.69,OK,19.43,84.7,1.468,2.12,152.0,29.09,0.2,806.819,0.369,2023,7,9,21,55
18.42,OK,0.2,BDL,0.2,BDL,0.15,OK,14.94,OK,2.0,BDL,15.02,91.0,3.997,5.765,162.4,7.116,0.1,800.126,,2023,10,11,2,7
47.58,OK,1.81,OK,0.2,BDL,0.06,OK,22.74,OK,12.48,OK,15.78,86.7,1.806,2.529,58.57,33.44,0.1,807.186,,2023,7,6,23,45
29.91,OK,0.82,OK,0.2,BDL,0.13,OK,29.61,OK,14.18,OK,15.99,87.4,3.205,4.157,151.0,18.17,0.3,804.858,24.16,2023,7,1,16,43
29.74,OK,1.96,OK,0.2,BDL,0.26,OK,28.86,OK,30.44,OK,15.29,96.5,2.302,2.611,139.7,7.207,0.6,805.628,0.784,2023,8,29,3,51
60.29,OK,3.63,OK,0.2,BDL,0.22,OK,12.1,OK,14.0,OK,14.98,94.3,0.236,0.645,35.55,0.868,0.1,809.212,,2023,8,11,23,39
28.86,OK,1.11,OK,0.2,BDL,0.14,OK,31.56,OK,13.46,OK,17.27,86.7,7.398,10.52,156.5,6.976,1.0,805.273,24.25,2023,7,1,16,37
27.73,OK,5.75,OK,0.2,BDL,0.11,OK,20.49,OK,17.11,OK,15.89,95.9,0.058,0.195,80.4,3.928,0.1,809.685,,2023,7,18,1,4
